PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
5RLPR,r2q1rk1/pp1n1ppp/5b2/2p2Q2/3P4/P2BPN2/1P3PPP/R3K2R b KQ - 3 13,c5d4 f5h7,541,86,100,706,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/l7Pz5XqN/black#26,Indian_Defense Indian_Defense_Normal_Variation
5ReOz,r4rk1/pb2ppbp/1p4p1/1N1q4/3P4/4B3/PP3PPP/2RQ1RK1 w - - 6 17,b5c7 d5g2,586,79,100,93,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/r3NlZUhQ#33,Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack
5RnV6,1r1q1k1r/p1p3pp/5n2/8/2Q5/4P3/PP3PPP/RNB2K2 w - - 3 17,b2b3 d8d1,616,79,100,87,mate mateIn1 middlegame oneMove,https://lichess.org/e4gK06dZ#33,Englund_Gambit Englund_Gambit_Other_variations
5RrXb,r2Q2k1/1p4pp/p7/4p1N1/7P/5P2/q3B1K1/3R4 b - - 6 38,a8d8 d1d8,472,98,100,158,endgame mate mateIn1 oneMove,https://lichess.org/Qn0EOlFc/black#76,
5RvFr,r1b2rk1/pp3Rpp/n1pR4/8/8/1B3N2/P4PPP/6K1 b - - 0 21,f8f7 d6d8,630,78,97,914,mate mateIn1 middlegame oneMove pin,https://lichess.org/fQQTIDOy/black#42,
5RwpJ,2kr1b1r/3b2p1/2p2nqp/1p2B3/pP1P4/2QP4/P2N2PP/2R2RK1 b - - 1 19,d7h3 c3c6,589,84,100,212,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/QI4L6YTK/black#38,
5RxK9,r1b2rk1/ppb2ppp/8/3Bq3/8/P2P4/1PP1Q1PP/R1B2R1K w - - 0 16,d5f3 e5h2,777,77,98,680,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/q32yE6d9#31,Bishops_Opening Bishops_Opening_Other_variations
5RyPM,1k1Rb2r/ppp2qQp/2n5/8/8/1P6/PKP5/3R4 b - - 1 29,c6d8 d1d8,612,79,100,209,endgame,https://lichess.org/UpCihhml/black#58,
5S1E2,4r1k1/1pp2pp1/p2p3p/3P4/3b4/4BQ2/1P3PPP/2q3K1 w - - 0 25,e3c1 e8e1,597,79,98,385,endgame mate mateIn1 oneMove,https://lichess.org/BBFLgNvk#49,
5S5eq,r2q1r1k/ppp2pp1/3p1n1p/4pNb1/4P2P/1P1P2Q1/1PP2PP1/R1B1R1K1 b - - 2 17,g5c1 g3g7,615,84,99,966,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/lSF8fRFU/black#34,Russian_Game Russian_Game_Three_Knights_Game
5SGni,rn3k1r/pp3pp1/2pNp1b1/3nP1q1/2BPN2p/5Q2/PP3PP1/R3K2R b KQ - 1 15,g6e4 f3f7,606,82,100,516,mate mateIn1 middlegame oneMove,https://lichess.org/zl7n5Fut/black#30,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
5SRBk,bn2kbnr/4pppp/8/1q6/3P4/4PN2/1PQ2PPP/2B1K2R b Kk - 1 12,a8f3 c2c8,481,103,97,648,mate mateIn1 middlegame oneMove,https://lichess.org/JMuX7n8w/black#24,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
5STh7,r2qr3/ppp1n3/1bnpQ3/8/3PP2N/5P1k/PP5P/R4RK1 b - - 0 19,h3h4 e6g4,799,83,100,65,mate mateIn1 middlegame oneMove,https://lichess.org/HB5pa3jc/black#38,
5SX8W,1r4kr/ppp3pp/3p4/1Q6/3pq2n/6B1/PPP2P1P/RN3R1K w - - 4 20,h1g1 e4g2,749,81,100,212,mate mateIn1 middlegame oneMove,https://lichess.org/rq2PvO0A#39,
5SZ8f,r1b1kb1r/ppp2ppp/2n2q2/1B1pN3/P3n3/2N5/1PPP1PPP/R1BQK2R w KQkq - 1 7,d2d4 f6f2,672,79,100,90,attackingF2F7 master mate mateIn1 oneMove opening,https://lichess.org/nrlYoGRn#13,Four_Knights_Game Four_Knights_Game_Other_variations
5SbUe,6rk/1p4q1/p3r1Qp/8/8/5R2/6PP/5R1K w - - 0 39,g6e6 g7g2,436,85,100,879,endgame mate mateIn1 oneMove,https://lichess.org/O1827dAg#77,
5SeTA,rnb2rk1/pp3ppp/2p5/2b3B1/3qp1n1/1B1P3P/PPP2PP1/RN1QK2R w KQ - 0 10,h3g4 d4f2,612,89,97,809,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/lo2qTUZ5#19,Russian_Game Russian_Game_Italian_Variation
5SenV,6k1/5p1Q/p2Pn3/2p3p1/1qP3b1/6P1/2B2K1P/6N1 b - - 2 38,g8f8 h7h8,554,80,97,489,endgame mate mateIn1 oneMove,https://lichess.org/BEq7p78A/black#76,
5ShFY,8/6r1/R7/2pPp3/2P5/4PK2/7p/7k b - - 2 54,h1g1 a6a1,714,77,98,1055,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/xJNcKtY4/black#108,
5SuBQ,8/1R6/2p1k2p/2P5/4pBP1/2b1P1KP/r7/8 w - - 4 43,b7h7 c3e1,751,83,98,281,endgame master mate mateIn1 oneMove,https://lichess.org/Zu4kQYNk#85,
5SvTF,2kRr3/1bP3pp/1B6/1P6/4p3/3p2P1/4P2P/6K1 b - - 3 36,e8d8 c7d8q,626,79,98,1577,advancedPawn endgame master mate mateIn1 oneMove promotion,https://lichess.org/e4p6Yt65/black#72,
5T5pt,r4rk1/1R3pp1/4p2p/2pp4/2n2P2/3nqP2/P1Q1N1PP/1BR4K b - - 6 26,d3c1 c2h7,642,76,100,267,mate mateIn1 middlegame oneMove,https://lichess.org/5c4YIbfN/black#52,
5TLRH,2kr1bnr/p3pp1p/2p3p1/2p5/4P3/5R2/PPP2PPP/RNB3K1 w - - 1 11,f3a3 d8d1,560,88,100,75,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/a9RUF5mj#21,Sicilian_Defense Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack
5TQNN,r1b3k1/pp1pq1pQ/2p1p3/2PnPrN1/3Pp3/8/PP3PPP/3R1RK1 b - - 3 19,g8f8 h7h8,783,77,99,1352,master mate mateIn1 middlegame oneMove,https://lichess.org/y3gcBnrN/black#38,Alekhine_Defense Alekhine_Defense_Two_Pawn_Attack
5TTCt,1k5r/ppp3p1/5p2/4bn2/1P6/P2R1K2/r7/1R3BB1 b - - 11 28,h8h4 d3d8,517,83,100,108,master mate mateIn1 middlegame oneMove,https://lichess.org/v1CBZ5W1/black#56,
